
Brand,Sub-brand,Length (yards),Multicolor,Weight,Rows,Color 1,Color 2,Color 3
Lion Brand,Wool-Ease,197,No,Medium,28,Navy Blue,,
Patons,Classic Wool,223,No,Medium,32,Red,,
Caron,Simply Soft,315,No,Medium,24,Soft Blue,,
Red Heart,Super Saver,364,Yes,Medium,30,Red,White,Blue
Bernat,Blanket,220,No,Bulky,18,Gray,,
Lion Brand,Homespun,185,Yes,Bulky,16,Purple,Blue,
Patons,Silk Bamboo,102,No,Fine,42,Ivory,,
Lily Sugar'n Cream,Solids,95,No,Medium,36,Mint Green,,
Lion Brand,Mandala,590,Yes,Light,36,Pink,Purple,Blue
Rowan,Pure Wool,137,No,Medium,28,Charcoal,,
Cascade,220,220,No,Medium,30,Forest Green,,
Malabrigo,Rios,210,No,Medium,30,Teal,,
Lion Brand,Shawl in a Ball,518,Yes,Light,34,Blue,Gray,White
Berroco,Ultra Alpaca,215,No,Medium,32,Brown,,
Knit Picks,Wool of the Andes,110,No,Medium,30,Burgundy,,
Noro,Kureyon,110,Yes,Medium,28,Red,Orange,Purple
Madelinetosh,Tosh Merino Light,420,No,Fine,40,Lavender,,
Plymouth,Encore,200,No,Medium,30,Navy,,
Lion Brand,Heartland,251,No,Medium,32,Denali,,
Drops,Nepal,109,No,Medium,30,Brown,,
Rowan,Kidsilk Haze,229,No,Lace,50,Pink,,
Scheepjes,Whirl,1093,Yes,Fine,40,Blue,Purple,Pink
Cascade,Heritage,437,No,Fine,38,Red,,
Bernat,Baby Blanket,234,No,Super Bulky,14,White,,
Lion Brand,Jeans,246,No,Medium,30,Faded,,
Paintbox,Simply DK,302,No,Light,32,Navy,,
Caron,One Pound,812,No,Medium,32,Off White,,
Knit Picks,Chroma,198,Yes,Fine,36,Red,Orange,Yellow
Bernat,Velvet,315,No,Bulky,16,Gray,,
Red Heart,Unforgettable,270,Yes,Medium,30,Tidal,Blue,Green
Cascade,Superwash 220,220,No,Medium,30,Plum,,
Knit Picks,Palette,231,No,Fine,36,Goldenrod,,
Universal Yarn,Uptown Worsted,180,No,Medium,30,Sage Green,,
Lion Brand,Landscapes,147,Yes,Medium,30,Desert Spring,Blue,Green
Loops & Threads,Impeccable,268,No,Medium,28,Lavender,,
Debbie Bliss,Cashmerino,110,No,Light,32,Teal,,
DMC,Natura,169,No,Medium,30,Dusty Rose,,
Plymouth,Galway,210,No,Medium,30,Mustard,,
Universal Yarn,Deluxe Worsted,218,No,Medium,28,Aubergine,,
Sublime,Extra Fine Merino,137,No,Light,32,Sky Blue,,
Berroco,Vintage,219,No,Medium,30,Lavender,,
Lion Brand,LB Collection Superwash Merino,306,No,Fine,36,Teal,,
Brown Sheep,Nature Spun,245,No,Medium,30,Forest Green,,
Malabrigo,Worsted,210,No,Medium,30,Indigo,,
Patons,Canadiana,210,No,Medium,28,Ballet Pink,,
Sirdar,Snuggly,179,No,Light,32,Baby Blue,,
Hayfield,Bonus DK,280,No,Light,32,Cream,,
Lion Brand,Feels Like Butta,218,No,Medium,30,Mint,,
Caron,Cakes,383,Yes,Medium,30,Blueberry Cheesecake,Blue,Purple
Berroco,Comfort,210,No,Medium,28,Teal,,
Plymouth,Encore Colorspun,200,Yes,Medium,30,Purple,Blue,Pink
KnitPicks,Swish,110,No,Medium,30,Marine Heather,,
Hayfield,Bonus Chunky,135,No,Bulky,18,Purple,,
Schachenmayr,Catania,137,No,Fine,36,Yellow,,
Wool and the Gang,Shiny Happy Cotton,115,No,Medium,30,Dusty Pink,,
Knit Picks,Mighty Stitch,186,No,Medium,30,Celestial,,
Paintbox,Cotton DK,302,No,Light,32,Racing Green,,
Malabrigo,Arroyo,335,No,Light,32,Purpuras,,
Lang,Jawoll,459,No,Fine,38,Charcoal,,
Louisa Harding,Amitola,328,Yes,Light,32,Kimono,Red,Pink
Schachenmayr,Bravo,133,No,Medium,30,Rose,,
Cascade,Ultra Pima,220,No,Light,32,White,,
Rowan,Felted Tweed,191,No,Light,32,Carbon,,
Lion Brand,Ice Cream,394,Yes,Medium,30,Tutti Frutti,Pink,Purple
Novita,7 Brothers,218,No,Medium,28,Graphite,,
Wendy,Mode Chunky,142,No,Bulky,18,Teal,,
Stylecraft,Special DK,322,No,Light,32,Grape,,
Wendy,Supreme Luxury Cotton DK,230,No,Light,32,Jade,,
Hobbii,Rainbow Cotton,164,No,Light,32,Sky Blue,,
Bergere de France,Magic+,218,No,Medium,28,Pink,,
Drops,Karisma,109,No,Medium,30,Mustard Yellow,,
Cascade,Eco+,478,No,Medium,30,Aran,,
Lana Grossa,Cool Wool,164,No,Fine,36,Black,,
Katia,Concept,437,No,Medium,28,Indigo,,
Berroco,Remix Light,432,No,Light,32,Pool,,
King Cole,Riot DK,324,Yes,Light,32,Vulcano,Red,Gray
Drops,Delight,246,Yes,Light,32,Fog,Gray,Blue
Stylecraft,Classique Cotton,230,No,Light,32,Ultramarine,,
Cascade,Longwood,182,No,Medium,30,Jade,,
King Cole,Merino Blend DK,177,No,Light,32,Pink,,
Rico,Essentials Cotton DK,170,No,Light,32,Pastel Green,,
Lopi,Alafoss,100,No,Bulky,16,Seafoam,,
Scheepjes,Catona,137,No,Fine,36,Powder Pink,,
Drops,Cotton Merino,115,No,Light,32,Heather,,
Adriafil,Mirage,219,Yes,Medium,30,Ocean,Blue,Teal
Lion Brand,Coboo,232,No,Light,32,Beige,,
